ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
167,44,entrepreneur,married,tertiary,no,1631,yes,no,cellular,17,nov,81,1,195,2,failure,0
168,47,unknown,married,unknown,no,270,no,no,cellular,6,aug,467,2,-1,0,unknown,0
169,31,blue-collar,single,primary,no,5972,no,no,telephone,20,nov,59,1,-1,0,unknown,0
170,39,technician,married,secondary,no,994,no,no,cellular,5,feb,221,1,241,1,failure,0
171,41,admin.,married,secondary,no,705,yes,no,unknown,13,may,205,1,-1,0,unknown,0
172,36,services,married,secondary,no,183,yes,no,unknown,20,may,103,3,-1,0,unknown,0
173,39,entrepreneur,divorced,tertiary,no,0,no,no,cellular,16,apr,561,3,-1,0,unknown,0
174,58,technician,divorced,secondary,no,553,yes,no,cellular,28,jul,174,2,-1,0,unknown,0
175,31,management,married,tertiary,no,2984,no,no,cellular,22,apr,343,5,-1,0,unknown,0
176,46,technician,married,unknown,no,626,yes,no,unknown,26,may,399,2,-1,0,unknown,0
177,34,technician,single,tertiary,no,2047,yes,no,cellular,28,jul,57,5,-1,0,unknown,0
178,32,services,married,secondary,no,55,yes,no,unknown,15,may,546,9,-1,0,unknown,0
179,53,technician,married,secondary,no,768,yes,no,cellular,10,jul,218,1,-1,0,unknown,0
180,57,retired,single,secondary,no,976,yes,no,cellular,9,jul,98,1,-1,0,unknown,0
181,52,self-employed,divorced,secondary,no,385,no,yes,cellular,26,aug,96,4,-1,0,unknown,0
182,36,housemaid,married,primary,no,122,no,no,unknown,6,jun,78,1,-1,0,unknown,0
183,54,blue-collar,married,secondary,no,0,no,no,telephone,16,apr,1366,1,150,1,failure,0
184,23,entrepreneur,married,tertiary,no,489,no,yes,cellular,18,aug,235,4,-1,0,unknown,0
185,34,blue-collar,married,secondary,no,233,yes,no,cellular,18,nov,98,1,-1,0,unknown,0
186,31,technician,single,secondary,no,506,no,no,cellular,21,aug,43,4,-1,0,unknown,0
187,54,services,married,secondary,no,158,yes,no,unknown,19,may,198,1,-1,0,unknown,0
188,79,retired,divorced,primary,no,1910,no,no,telephone,24,feb,98,2,-1,0,unknown,0
189,56,management,married,secondary,no,819,no,no,unknown,9,jun,55,1,-1,0,unknown,0
190,35,management,married,tertiary,no,646,yes,no,cellular,18,nov,84,2,-1,0,unknown,0
191,33,services,married,secondary,no,7,yes,no,unknown,20,may,217,1,-1,0,unknown,0
192,33,services,single,secondary,no,358,yes,no,cellular,7,may,302,1,356,3,failure,0
193,47,unemployed,married,secondary,no,2024,no,no,unknown,9,jun,169,1,-1,0,unknown,0
194,34,technician,married,secondary,no,945,yes,yes,cellular,24,jul,181,1,-1,0,unknown,0
195,45,blue-collar,married,secondary,no,-149,yes,no,unknown,15,may,644,2,-1,0,unknown,0
196,34,technician,married,tertiary,no,1524,yes,no,cellular,16,apr,399,1,-1,0,unknown,0
197,43,unemployed,married,primary,no,240,yes,no,unknown,23,may,83,2,-1,0,unknown,0
198,33,blue-collar,single,secondary,no,2945,no,no,cellular,20,nov,91,1,-1,0,unknown,0
199,45,admin.,married,secondary,no,-405,no,no,cellular,31,jul,189,3,-1,0,unknown,0
200,33,technician,single,tertiary,no,49,no,no,cellular,25,aug,476,3,-1,0,unknown,0
201,31,blue-collar,married,secondary,no,897,yes,no,unknown,20,may,26,2,-1,0,unknown,0
202,30,technician,single,secondary,no,518,yes,no,unknown,2,jun,21,1,-1,0,unknown,0
203,42,housemaid,married,primary,yes,16,no,no,unknown,11,jun,79,1,-1,0,unknown,0
204,28,student,single,secondary,no,5916,no,no,cellular,22,may,259,1,63,5,failure,0
205,34,admin.,divorced,secondary,no,67,yes,no,unknown,6,may,90,1,-1,0,unknown,0
206,34,blue-collar,single,secondary,no,1599,yes,no,cellular,12,may,59,3,-1,0,unknown,0
207,44,blue-collar,married,primary,no,8,no,no,cellular,28,jan,531,1,-1,0,unknown,0
208,28,management,single,tertiary,no,3238,yes,no,unknown,19,may,7,1,-1,0,unknown,0
209,44,blue-collar,married,secondary,no,138,yes,no,unknown,8,may,283,3,-1,0,unknown,0
210,30,management,single,tertiary,no,21,no,no,cellular,26,aug,61,7,-1,0,unknown,0
211,34,management,single,secondary,no,356,yes,no,cellular,30,jul,52,7,-1,0,unknown,0
212,80,retired,divorced,primary,no,5861,no,no,telephone,26,apr,92,8,-1,0,unknown,0
213,35,management,single,tertiary,no,151,no,no,unknown,20,sep,11,1,850,2,failure,0
214,35,technician,married,tertiary,no,393,no,no,cellular,29,aug,150,2,-1,0,unknown,0
215,51,unemployed,married,tertiary,no,174,no,yes,cellular,11,jul,222,7,-1,0,unknown,0
216,52,blue-collar,married,primary,no,126,no,no,unknown,23,may,93,4,-1,0,unknown,0
217,32,blue-collar,single,secondary,no,5252,yes,no,unknown,21,may,1162,2,-1,0,unknown,0
218,41,technician,married,secondary,no,442,yes,yes,cellular,17,apr,261,3,322,1,other,0
219,33,self-employed,married,tertiary,no,0,yes,no,cellular,19,nov,122,2,-1,0,unknown,0
220,36,blue-collar,married,secondary,no,160,yes,no,cellular,30,jan,344,2,-1,0,unknown,0
221,35,blue-collar,divorced,tertiary,no,3547,yes,no,cellular,19,nov,289,1,-1,0,unknown,0
222,51,housemaid,married,primary,no,618,yes,yes,cellular,4,feb,69,1,-1,0,unknown,0
223,39,blue-collar,single,secondary,no,0,yes,no,cellular,7,may,722,2,-1,0,unknown,0
224,46,services,married,secondary,no,12,no,no,cellular,26,aug,225,3,-1,0,unknown,0
225,40,blue-collar,married,secondary,no,316,yes,no,unknown,7,may,266,2,-1,0,unknown,0
226,56,management,married,primary,no,405,no,no,cellular,21,jul,251,2,-1,0,unknown,0
227,55,retired,married,secondary,no,1467,no,yes,cellular,29,jul,277,2,-1,0,unknown,0
228,42,management,single,tertiary,no,1768,yes,no,unknown,8,may,193,2,-1,0,unknown,0
229,59,housemaid,married,primary,no,96,no,no,cellular,6,aug,88,2,-1,0,unknown,0
230,35,blue-collar,married,secondary,no,53,yes,no,unknown,16,may,258,2,-1,0,unknown,0
231,40,technician,married,secondary,no,84,yes,no,cellular,8,aug,119,3,-1,0,unknown,0
232,37,services,married,secondary,no,4430,yes,no,cellular,5,may,175,1,-1,0,unknown,0
233,52,blue-collar,married,secondary,no,633,yes,no,cellular,14,may,292,1,-1,0,unknown,0
234,35,blue-collar,married,primary,no,456,yes,no,unknown,2,jun,71,1,-1,0,unknown,0
235,46,blue-collar,married,secondary,no,0,yes,no,unknown,26,may,208,2,-1,0,unknown,0
236,34,housemaid,married,secondary,no,1969,no,no,cellular,7,aug,252,4,-1,0,unknown,0
237,27,management,single,tertiary,no,385,no,yes,cellular,31,jul,52,7,-1,0,unknown,0
238,45,admin.,married,secondary,no,137,yes,no,unknown,14,may,427,1,-1,0,unknown,0
239,29,services,single,secondary,no,166,no,yes,cellular,28,jul,108,8,-1,0,unknown,0
240,31,technician,single,secondary,no,19,no,no,telephone,4,jul,65,2,-1,0,unknown,0
241,33,blue-collar,married,secondary,no,245,yes,no,cellular,14,may,437,2,370,8,other,0
242,56,management,divorced,tertiary,no,442,no,no,unknown,28,may,77,3,-1,0,unknown,0
243,25,services,single,secondary,no,32,yes,no,unknown,16,may,124,1,-1,0,unknown,0
244,40,management,divorced,secondary,no,-626,yes,no,cellular,7,jul,140,4,-1,0,unknown,0
245,48,blue-collar,married,primary,no,2519,no,no,telephone,22,aug,105,5,-1,0,unknown,0
246,34,technician,divorced,secondary,no,-324,no,no,cellular,14,aug,166,4,-1,0,unknown,0
247,59,retired,married,primary,no,2722,no,no,unknown,16,jun,145,1,-1,0,unknown,0
248,57,blue-collar,married,secondary,no,166,no,no,cellular,4,aug,58,1,-1,0,unknown,0
249,45,blue-collar,married,primary,no,751,no,no,cellular,28,aug,151,4,-1,0,unknown,0
250,33,management,married,tertiary,no,644,yes,yes,cellular,3,feb,124,2,271,2,failure,0
251,45,blue-collar,married,secondary,no,156,yes,yes,unknown,28,may,47,1,-1,0,unknown,0
252,32,unemployed,married,secondary,yes,2,yes,no,unknown,13,may,178,2,-1,0,unknown,0
253,34,blue-collar,single,tertiary,no,42,no,no,cellular,5,aug,297,1,-1,0,unknown,0
254,31,blue-collar,married,primary,no,392,yes,no,cellular,14,may,465,2,360,1,failure,0
255,32,admin.,single,secondary,no,73,yes,no,unknown,28,may,545,1,-1,0,unknown,0
256,58,blue-collar,divorced,primary,no,1299,no,no,cellular,19,jul,128,2,234,2,failure,0
257,43,admin.,married,secondary,no,324,no,no,cellular,8,aug,629,4,-1,0,unknown,0
258,48,blue-collar,single,primary,no,316,no,no,unknown,5,jun,560,2,-1,0,unknown,0
259,41,management,married,tertiary,no,51,no,no,cellular,25,aug,140,8,-1,0,unknown,0
260,38,technician,single,secondary,no,435,yes,no,cellular,6,may,437,4,345,1,failure,0
261,31,management,married,tertiary,no,2937,yes,no,cellular,4,feb,173,1,-1,0,unknown,0
262,56,retired,married,secondary,no,397,yes,no,unknown,23,may,252,1,-1,0,unknown,0
263,32,admin.,married,secondary,no,76,yes,no,unknown,21,may,189,2,-1,0,unknown,0
264,49,blue-collar,married,primary,no,-117,no,no,cellular,25,aug,53,6,-1,0,unknown,0
265,58,management,divorced,tertiary,no,5,yes,no,unknown,9,jun,412,1,-1,0,unknown,0
266,46,admin.,divorced,secondary,no,660,yes,no,cellular,29,jan,1026,1,259,2,failure,0
267,51,services,married,unknown,no,5801,yes,no,unknown,29,may,147,2,-1,0,unknown,0
268,41,blue-collar,married,primary,no,-571,yes,yes,unknown,26,may,207,4,-1,0,unknown,0
269,36,admin.,single,secondary,no,0,yes,yes,unknown,16,may,213,1,-1,0,unknown,0
270,33,blue-collar,married,primary,no,463,yes,no,unknown,23,may,230,1,-1,0,unknown,0
271,35,management,divorced,secondary,no,124,yes,no,cellular,16,apr,48,4,146,5,failure,0
272,35,services,single,secondary,no,11,yes,no,cellular,25,jul,294,1,-1,0,unknown,0
273,49,services,married,secondary,no,66,yes,yes,cellular,21,nov,59,4,-1,0,unknown,0
274,50,technician,single,secondary,no,330,no,no,cellular,6,aug,376,3,-1,0,unknown,0
275,42,technician,divorced,secondary,no,0,yes,no,unknown,30,may,115,6,-1,0,unknown,0
276,33,management,married,secondary,no,-224,yes,no,cellular,14,may,152,2,259,8,other,0
277,38,blue-collar,married,primary,no,580,yes,no,unknown,30,may,572,6,-1,0,unknown,0
278,37,management,single,secondary,no,8311,yes,no,cellular,16,apr,474,2,-1,0,unknown,0
279,42,self-employed,married,tertiary,no,2821,no,no,unknown,11,jun,203,2,-1,0,unknown,0
280,41,technician,married,secondary,no,112,yes,no,cellular,17,nov,1081,1,131,1,failure,0
281,56,services,divorced,secondary,no,935,no,no,cellular,2,jun,136,1,96,3,failure,0
282,32,blue-collar,married,secondary,yes,-238,yes,no,unknown,27,may,427,1,-1,0,unknown,0
283,45,blue-collar,divorced,secondary,no,-705,no,yes,unknown,3,jul,111,1,-1,0,unknown,0
284,34,management,married,secondary,no,5127,no,yes,cellular,10,jul,559,2,-1,0,unknown,0
285,75,retired,divorced,primary,no,46,no,no,cellular,2,feb,294,1,-1,0,unknown,0
286,38,blue-collar,married,secondary,no,757,yes,no,cellular,2,feb,133,1,272,1,failure,0
287,58,retired,divorced,secondary,no,439,no,yes,cellular,10,jul,48,2,-1,0,unknown,0
288,57,technician,married,secondary,no,109,no,no,cellular,25,aug,124,4,-1,0,unknown,0
289,25,management,single,tertiary,no,295,no,no,cellular,5,jun,169,1,-1,0,unknown,0
290,39,management,single,tertiary,no,816,yes,no,cellular,27,aug,37,3,-1,0,unknown,0
291,28,blue-collar,single,secondary,no,-267,yes,no,unknown,20,jun,86,4,-1,0,unknown,0
292,31,technician,single,secondary,no,591,yes,yes,cellular,15,may,14,5,-1,0,unknown,0
293,41,admin.,married,primary,no,0,yes,no,cellular,6,may,184,2,323,1,failure,0
294,41,unemployed,married,tertiary,no,1666,no,no,unknown,9,jun,291,3,-1,0,unknown,0
295,33,management,single,tertiary,no,923,yes,no,cellular,19,nov,1307,3,173,6,failure,0
296,38,blue-collar,single,unknown,no,573,yes,no,unknown,12,may,334,7,-1,0,unknown,0
297,49,blue-collar,married,primary,no,3049,no,no,unknown,12,jun,124,2,-1,0,unknown,0
298,29,services,single,tertiary,no,1788,no,no,cellular,4,feb,303,1,100,1,success,0
